english_sentence,norwegian_sentence,label
"In addition to software development , the new design unit will provide for mechanical engineering and electronics design .","I tillegg til programvareutvikling, vil den nye designenheten sørge for mekanisk ingeniørarbeid og elektronikkdesign.",1
`` NTC has a geographical presence that complements Ramirent 's existing network and brings us closer to our customers in the East Bohemia region in the CzechRepublic . '',NTC har en geografisk tilstedeværelse som utfyller Ramirents eksisterende nettverk og bringer oss nærmere våre kunder i regionen Øst-Böhmen i Tsjekkia. '',2
The solution will now be expanded to include all ground staff tasks .,Løsningen vil nå bli utvidet til å omfatte alle bakkeansattes oppgaver.,1
"Metrics in QPR ScoreCard now support date , text and milestone-based values , which improve its support for managing projects around performance or process-related content .","Metrics i QPR ScoreCard støtter nå dato-, tekst- og milepælbaserte verdier, noe som forbedrer støtten for å administrere prosjekter rundt ytelse eller prosessrelatert innhold.",2
"Ahlstrom , headquartered in Helsinki , Finland , is a global leader in the development , manufacture and marketing of high performance fibre-based materials .","Ahlstrom, med hovedkontor i Helsinki, Finland, er en global leder innen utvikling, produksjon og markedsføring av høyytelses fiberbaserte materialer.",1
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .","` Det er et testament til kvaliteten på vår LTE løsning og vår forpliktelse til det japanske markedet ' , la han til.",1
"The agreement , which will cover monitoring , maintenance , server capacity service and backups , has a one-year extension option .","Avtalen, som vil dekke overvåking, vedlikehold, serverkapasitetstjeneste og sikkerhetskopiering, har ett års forlengelse.",1
"To showcase our end-to-end capabilities at the Mobile World Congress , we arranged an internal MeeGo application development competition to entice developers to create new applications .","For å vise frem våre ende-til-ende evner på Mobile World Congress, arrangerte vi en intern MeeGo applikasjonsutvikling konkurranse for å lokke utviklere til å lage nye applikasjoner.",1
According to an  posted by the World Intellectual Property Organization : `` The present invention relates to hydrocarbons and particularly to the manufacture of hydrocarbon components suitable as aviation fuels or jet fuels and as blending stocks for aviation fuels .,Ifølge en  postet av World Intellectual Property Organization: `` Den nåværende oppfinnelsen er relatert til hydrokarboner og spesielt til produksjon av hydrokarbonkomponenter egnet som flydrivstoff eller jetbrensel og som blanding av aksjer for luftfart drivstoff .,1
The shares shall be acquired according to the Rules of NASDAQ OMX Helsinki and otherwise according to the rules related to acquisition of the company 's own shares .,Aksjene skal erverves i henhold til reglene i NASDAQ OMX Helsinki og ellers i henhold til regler knyttet til oppkjøp av selskapets egne aksjer.,1
They both will report to Oriola-KD 's chief executive officer Eero Hautaniemi .,De begge vil rapportere til Oriola-KD 's administrerende offiser Eero Hautaniemi .,1
11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,11 August 2010 - Finsk måleutstyr maker Vaisala Oyj HEL : VAIAS sa i dag at netto tap utvidet seg til EUR4.8 m i første halvår 2010 fra EUR2.3 m i tilsvarende periode et år tidligere .,0
"As a result , the company has decided it will implement fixed-term temporary lay-offs .","Som et resultat, har selskapet besluttet at det vil gjennomføre faste midlertidige lay-offs.",0
"Below are consolidated , unaudited results for Amanda Capital under IFRS reporting standards .","Nedenfor følger konsoliderte, ureviderte resultater for Amanda Capital i henhold til IFRS rapporteringsstandarder.",1
"The product advisory does not apply to any other Nokia-branded battery , the company said .","Produktet rådgivning gjelder ikke for noen andre Nokia-merket batteri , selskapet sa .",1
"Because expenditures must be justified to pass budget approval hurdles , we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities .","Fordi utgifter må være berettiget til å passere budsjett godkjenning hindringer, tror vi vår RoP modell kan bidra til å gjøre det enklere for IT og IT sikkerhet utøvere å gjøre business case for å anskaffe muliggjørende sikkerhetsteknologier og relaterte kontrollaktiviteter.",1
A total of 140 jobs will be reduced at the Raahe Steel Works .,Totalt 140 arbeidsplasser vil bli redusert på Raahe Steel Works .,0
"For Teleste , the acquisition marks an entry into services business in a market where it has long been an established and significant supplier of products .",For Teleste markerer oppkjøpet en inntreden i tjenestevirksomhet i et marked hvor det lenge har vært en etablert og betydelig leverandør av produkter.,2
"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .","Okmetics produkter er basert på høyteknologisk kompetanse som genererer merverdi for kundene, innovativ produktutvikling og en ekstremt effektiv produksjonsprosess.",2
"Founded in 1923 , Finnair is one of the world 's oldest airlines and flies to 60 destinations with a fleet of 63 aircraft , employing 9,500 people .","Grunnlagt i 1923, Finnair er en av verdens eldste flyselskaper og flyr til 60 destinasjoner med en flåte på 63 fly, sysselsetter 9,500 personer.",1
"Fortum expects its annual capital expenditure in the next four to five years to be within a range of EUR 0.8-1 .2 billion , as earlier announced .","Fortum forventer at de årlige kapitalutgiftene i de neste fire til fem årene vil være innenfor et område på EUR 0.8-1 .2 milliarder, som tidligere annonsert.",1
The company will release its 2010 results on 11 February 2011 .,Selskapet vil offentliggjøre sine resultater for 2010 den 11. februar 2011.,1
No pricing details were disclosed .,Ingen prisdetaljer ble avslørt.,1
"Neste Oil extended yesterday 's gains and put on 0.49 pct to 22.72 eur , while utility Fortum shed 1.14 pct to 20.76 eur .","Neste Oil utvidet gårsdagens gevinster og satte på 0.49 pst til 22.72 euro, mens verktøyet Fortum kastet 1.14 pst til 20.76 euro.",1
Hobby Hall 's sales decrease 26 pct due to implementing a new information system that involved changing in the principal of posting sales .,Hobby Hall 's salget reduseres 26 pst på grunn av implementering av et nytt informasjonssystem som involverte endring i hovedparten av innlegg salg .,0
"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .","Innenfor rammen av partnerskapet har Nokia Siemens Networks signert en innledende rammeavtale med Sitronics datterselskap, JSC Mikron, som er den største produsenten og eksportøren av mikroelektroniske komponenter i Russland.",2
"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .","Administrerende direktørs kommentarer: ""Netto salg for første kvartal var spesielt lavere enn året før, spesielt i Finland, Russland og de baltiske landene.",0
Le Lay succeeds Walter G++nter and will be based in Finland .,Le Lay etterfølger Walter G++nter og vil være basert i Finland.,1
"Marathon now has a 4.6 percent stake in PLX , it said , according to Bloomberg .","Marathon har nå en eierandel på 4.6 prosent i PLX, heter det, ifølge Bloomberg.",1
"INTERNET BUSINESS NEWS - -® 1995-2006 M2 COMMUNICATIONS LTD As part of a drive to protect users of its Internet banking service , Barclays Bank has announced that it is to recommend F-Secure Internet Security to its customers .","INTERNET BUSINESS NEWS - -® 1995-2006 M2 COMMUNICATIONS LTD Som en del av et forsøk på å beskytte brukere av sin Internett banktjeneste , Barclays Bank har annonsert at det er å anbefale F-Secure Internet Security til sine kunder .",1
Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,I fjor SysOpen Digia investert i IBM produkt know-how i byggingen av portal og trading sted systemer og vellykket implementert kundeløsninger støttet av det .,2
The terms of the transactions remained undisclosed .,Vilkårene for transaksjonene forble ukjent.,1
"Meanwhile , Alfa owns 25.1 % of MegaFon through Altimo , and 4.99 % of Turkcell via an 18.5 % stake in Cukurova Holding .","I mellomtiden eier Alfa 25,1 % av MegaFon gjennom Altimo, og 4,99 % av Turkcell via en eierandel på 18,5 % i Cukurova Holding.",1
Elcoteq 's revenues in 2007 were approximately EUR 120 million .,Elcoteqs inntekter i 2007 var på ca 120 millioner euro.,1
The total investment in 2006 and 2007 is expected to amount to about EUR75m .,Den totale investeringen i 2006 og 2007 forventes å beløpe seg til ca EUR75m .,1
"As a result , a total of 82 employees would be given notice .","Som et resultat, totalt 82 ansatte vil bli gitt varsel.",1
"`` Nokia 's Calling All Innovators Africa competition has been specifically launched to enable developers to create locally relevant , best-of-breed mobile applications . ''","Nokias Calling All Innovators Africa konkurranse har blitt spesielt lansert for å gjøre det mulig for utviklere å lage lokalt relevante, best-of-breed mobile applikasjoner. ''",2
The deal is in line with Etteplan 's strategy to operate as a partner of global customers and provide industrial technology design services .,Avtalen er i tråd med Etteplan 's strategi for å operere som en partner av globale kunder og tilby industriell teknologi design tjenester .,1
"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .","Finsk byggegruppe Lemminkainen Oyj HEL : LEM1S sa i dag at det har vunnet en kontrakt for å tilby tekniske tjenester for Nevsky Centre kjøpesenter som skal åpnes i november i St Petersburg , Russland .",2
55 workers in +àm+Ñl will be affected by the close-down .,55 arbeidere i +àm+Ñl vil bli berørt av nedleggelsen .,0
Rapala VMC Corporation ( Rapala ) is a Finland-based company engaged in the manufacture and distribution of fishing equipment and accessories .,Rapala VMC Corporation ( Rapala ) er et Finland-basert selskap som driver produksjon og distribusjon av fiskeutstyr og tilbehør.,1
"The contract also includes installation work in a new multistorey carpark for close on 1,000 vehicles .",Kontrakten inkluderer også installasjonsarbeid i en ny multistorey carpark for tetting på 1000 kjøretøy.,1
Kone said in court papers that the union action delayed repairs to elevators at the federal courthouse on Jan. 21 and the Saltonstall state office building on Jan. 23 .,Kone sa i rettspapirene at fagforeningshandlingen forsinket reparasjoner til heiser ved det føderale tinghuset på Jan. 21 og Saltonstall statlige kontorbygningen på Jan. 23 .,0
"After the acquisition , Basware 's preliminary pro forma net sales for 2005 amount to EUR 52.6 mn , and preliminary pro forma operating profit amounts to EUR 7.1 mn .","Etter oppkjøpet, Basware foreløpige pro forma netto salg for 2005 beløp seg til EUR 52.6 mn , og foreløpige pro forma driftsresultat utgjør EUR 7.1 mn .",1
Europe however remains an important and strong market for us .,Europa er imidlertid fortsatt et viktig og sterkt marked for oss.,1
"In today s business , you have to pre-empt what consumers want , said Mohammed Zainalabedin , General Manager , Zain Bahrain .","I dagens virksomhet, må du pre-empt hva forbrukerne ønsker, sier Mohammed Zainalabedin, General Manager, Zain Bahrain .",1
"Capacity will ease at its Seikku sawmill in Pori and Alholma sawmill in Pietarsaari and result in 60 people being laid off for around six weeks starting mid-May , it said .","Kapasitet vil lette på sin Seikku sagbruk i Pori og Alholma sagbruk i Pietarsaari og resultere i 60 personer blir permittert i rundt seks uker fra midten av mai, sa det.",0
"Yesterday , Legrand issued its E300 million fixed rate deal maturing 2017 .","I går, Legrand utstedte sin E300 millioner fast rente avtale modning 2017.",1
STUK today is a full service house expert in radiation and nuclear safety issues .,STUK i dag er en full service hus ekspert i stråling og kjernefysisk sikkerhet problemer.,1
"Rockwell Collins is a provider of flight deck , cabin and information management solutions for business aircraft operators .","Rockwell Collins er en leverandør av flydekk, kabin og informasjonshåndteringsløsninger for forretningsflyoperatører.",1
"`` Adjustment to the fall in price level , in contrast , has been less effective .","`` Justering til fallet i prisnivået, i motsetning, har vært mindre effektiv.",0
"The total investment in the company will be EUR58m , of which Wartsila 's share will be EUR29m .","Den totale investeringen i selskapet vil være EUR58m , hvorav Wartsila 's andel vil være EUR29m .",1
The company expects its net sales for the whole 2009 to be at previous year levels .,Selskapet forventer at nettosalg for hele 2009 vil være på samme nivå som året før.,1
The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,Enheten er planlagt å være operativ i løpet av andre halvår 2007 og i full drift i 2008.,1
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009 .","Finske Scanfil, en systemleverandør og kontraktprodusent til kommunikasjonssektoren og elektronikkindustrien, rapporterer et nettosalg på 94,7 millioner euro i første halvår 2010, ned fra 99,5 millioner euro i første halvår 2009.",0
"Its annual capacity is some 10,000 MW .",Den årlige kapasiteten er rundt 10 000 MW.,1
The net sales of Healthcare Trade business in 2009 were EUR 145.1 million EUR 155.2 million and operating profit EUR 8.9 million EUR 7.9 million .,Netto salg av Healthcare Trade virksomhet i 2009 var EUR 145.1 millioner EUR 155.2 millioner og driftsresultat EUR 8.9 millioner EUR 7.9 millioner .,1
No financial detail were available .,Ingen økonomiske detaljer var tilgjengelig.,1
"Financial , strategic and operational factors are considered .","Finansielle, strategiske og operasjonelle faktorer vurderes.",1
"The order consists of outsourced application management , support and planning for Tecnotree and third-party applications .","Ordren består av outsourcet applikasjonsadministrasjon, støtte og planlegging for Tecnotree og tredjeparts applikasjoner.",1
It posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 .,Det postet en omsetning på 4.5 mln euro $ 6.1 mln og et driftsresultat på 1.5 mln euro $ 2.0 mln for 2006 .,1
Elcoteq SE is Europe 's largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai .,Elcoteq SE er Europas største kontrakt elektronikk maker og har satt opp en enhet i Bangalore i samarbeid med Avista Advisory av Mumbai.,1
"Net sales in 2010 were about EUR 2.0 billion , of which international operations accounted for roughly a quarter .","Netto salg i 2010 var om lag 2,0 milliarder euro, hvorav internasjonale operasjoner sto for omtrent en fjerdedel.",1
Raisio is the site of the main production plants as well as company headquarters .,Raisio er stedet for de viktigste produksjonsanleggene samt selskapets hovedkontor.,1
The indexes include the top companies that are committed to sustainable development .,Indeksene inkluderer de beste selskapene som er forpliktet til bærekraftig utvikling.,1
The GeoSolutions team further provides an intriguing new technology combining GPS and Mobile-based technologies together with Internet-based social networking .,The GeoSolutions teamet gir videre en spennende ny teknologi som kombinerer GPS og Mobile-baserte teknologier sammen med Internett-basert sosiale nettverk.,1
The total value of these two contracts is over EUR 21 million .,Den totale verdien av disse to kontraktene er over EUR 21 millioner .,1
"M-real Corporation Stock Exchange Release 27 August 2009 at 3.15 pm M-real has received the EUR 190 million cash payment from Sappi M-real Corporation , a part of Mets+ñliitto Group , divested its Graphic Papers business to Sappi Limited at the end of 2008 for EUR 750 million .","M-real Corporation Stock Exchange Slipp 27 August 2009 på 3.15 pm M-real har mottatt EUR 190 millioner kontant betaling fra Sappi M-real Corporation, en del av Mets+ñliitto Group, avhendet sin Grafiske Papers virksomhet til Sappi Limited ved utgangen av 2008 for EUR 750 millioner .",1
EuroChem CFO Andrey Ilyin said : `` This facility marks another important step for EuroChem in securing the long-term financing necessary for our potash and other strategic projects '' .,EuroChem CFO Andrey Ilyin sa: ``Dette anlegget markerer et annet viktig skritt for EuroChem i å sikre langsiktig finansiering som er nødvendig for vår potash og andre strategiske prosjekter '' .,2
"The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 .","Den økonomiske virkningen er anslått til å være ca 1,5 MEUR årlig forbedring i divisjonens resultat, med utgangspunkt i regnskapsåret 2007.",2
Mformation provides enhanced management of these applications by enabling configuration and control throughout their lifecycle .,Mformation gir forbedret styring av disse applikasjonene ved å muliggjøre konfigurasjon og kontroll gjennom hele livssyklusen.,1
"In 2007 , almost two thirds of Orion 's net sales came from these drugs .",I 2007 kom nesten to tredjedeler av Orions nettosalg fra disse stoffene.,1
"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .","Ifølge Arokarhu, noen av kjøpene som hadde blitt skannet inn i kassa datamaskinen forsvant når den totale summen nøkkelen ble trykket.",0
Russia wants to utilise its huge forest reserves in a very different way from what has been done so far .,Russland ønsker å utnytte sine enorme skogreserver på en helt annen måte enn det som har blitt gjort så langt.,1
The company did not distribute a dividend in 2005 .,Selskapet delte ikke ut utbytte i 2005.,1
"Of these shares 14,747,084 are held by the Company and the number of outstanding shares and voting rights attached to the shares amounts thus to 161,256,847 .","Av disse aksjene er 14 747 084 eid av selskapet, og antall utestående aksjer og stemmeretter knyttet til aksjene utgjør dermed 161 256 847.",1
Symphony Services provides development services for Aldata GOLD .,Symphony Services tilbyr utviklingstjenester for Aldata GOLD .,1
"Sales at the Tiimari business went down by 8 % to EUR 11.8 million , while Gallerix stores saw 29 % growth to EUR 2 million .","Salget hos Tiimari gikk ned med 8 % til EUR 11.8 millioner, mens Gallerix butikker hadde en vekst på 29 % til EUR 2 millioner.",0
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,Rapala sa det anslår det vil gjøre besparelser på 1-2 mln eur i året ved å sentralisere sine franske operasjoner på ett sted .,2
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,Kones nettosalg økte med rundt 14 % fra år til år i de første ni månedene av 2008.,2
"By the end of 2006 , the number of joint branch offices will total 170 .","Ved utgangen av 2006, antall felles avdelingskontorer vil totalt 170 .",1
Airbus will attempt to evacuate up to 873 people within 90 seconds .,Airbus vil forsøke å evakuere opp til 873 personer innen 90 sekunder .,1
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .","KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation og Aspo plc inngikk i dag en avtale om at Aspo kjøper aksjene i Kauko-Telko Ltd, et datterselskap som er heleid av Kesko.",2
The trade is in accordance with the agreement announced on 26 March 2008 .,Handelen er i samsvar med avtalen som ble annonsert 26. mars 2008.,1
The new organization consists of two business units : Charging & Messaging and Finance & Administration .,Den nye organisasjonen består av to forretningsenheter: Charging & Messaging og Finance & Administration.,1
"According to the prosecutor , the share transactions were carried out after HK Ruokatalo had proceeded in the negotiations concerning the acquisition of Swedish Meats .",Ifølge anklageren ble aksjetransaksjonene gjennomført etter at HK Ruokatalo hadde gått videre i forhandlingene om oppkjøpet av Swedish Meats.,1
"ADPnews - Sep 28 , 2009 - Finnish silicon wafers maker Okmetic Oyj HEL : OKM1V said it will reduce the number of its clerical workers by 22 worldwide as a result of personnel negotiations completed today .","ADPnews - Sep 28 , 2009 - Finsk silisium wafers maker Okmetic Oyj HEL : OKM1V sa det vil redusere antall sine geistlige arbeidere med 22 over hele verden som et resultat av personell forhandlinger fullført i dag .",0
This will bring cost savings of about EUR 3mn a year .,Dette vil gi kostnadsbesparelser på ca EUR 3mn i året .,2
"Of the sales price , a sales gain of some 3.1 mln euro ( $ 4.5 mln ) will be recognized in Incap 's earnings for 2007 .","Av salgsprisen, en salgsgevinst på noen 3.1 mln euro ( $ 4.5 mln ) vil bli gjenkjent i Incap 's inntjening for 2007 .",2
"Tieto in Latvia is represented by IT services companies TietoEnator Alise and TietoEnator , which has operations in the industries of Financial Services Cards , Retail and Logistics and IT Outsourcing and Managed Services .","Tieto i Latvia er representert av IT-tjenester selskapene TietoEnator Alise og TietoEnator, som har virksomhet i bransjene Financial Services Cards, Retail and Logistics og IT Outsourcing and Managed Services.",1
"The value of the order is EUR 700,000 .",Verdien av bestillingen er EUR 700 000 .,1
Its other well-known brands include fitness equipment maker Precor and U.S. - based ball sports equipment maker Wilson .,Dens andre kjente merker inkluderer fitness utstyr maker Precor og U.S. - basert ball sportsutstyr maker Wilson .,1
It will focus on improving its profitability next year by streamlining operations .,Det vil fokusere på å forbedre sin lønnsomhet neste år ved å effektivisere driften.,2
"In the end of 2006 , the number of outlets will rise to 60-70 .","I slutten av 2006, antall utsalgssteder vil stige til 60-70 .",2
"The Finland-based company says it will move into an existing 260,000-square-foot facility in September .","Det Finland-baserte selskapet sier det vil flytte inn i en eksisterende 260,000-kvadratfot anlegg i september .",1
